Player,Jersey_Num,Class,Position,Height,Weight,Hometown,High_School,Summary,Team,Year
Jameel McKay,1,SR,F,6-9,215,Milwaukee WI,Pulaski,11.1 Pts 8.8 Reb 0.9 Ast,Iowa St. ,2016
Deonte Burton,30,JR,G,6-4,240,Milwaukee WI,Vincent,9.7 Pts 3.9 Reb 1.0 Ast,Iowa St. ,2016
Nazareth Mitrou-Long,15,SR,G,6-4,210,Mississauga Canada,St. Martin HS,12.0 Pts 2.9 Reb 1.9 Ast,Iowa St. ,2016
Hallice Cooke,3,SO,G,6-3,190,Union City NJ,St. Anthony,2.6 Pts 1.0 Reb 0.9 Ast,Iowa St. ,2016
Jordan Ashton,23,JR,G,6-4,191,Mount Pleasant IA,Mount Pleasant (IA),1.0 Pts 0.7 Reb 0.3 Ast,Iowa St. ,2016
Simeon Carter,0,FR,F,6-8,215,Charlotte NC,West Charlotte HS,0.7 Pts 0.4 Reb 0.0 Ast,Iowa St. ,2016
Brady Ernst,33,FR,F,6-10,230,Clinton IA,Clinton HS,0.3 Pts 0.7 Reb 0.0 Ast,Iowa St. ,2016
Stuart Nezlek,24,JR,C,6-10,245,River Forest IL,Fenwick HS,0.3 Pts 0.1 Reb 0.0 Ast,Iowa St. ,2016
A.J. English,5,SR,G,6-4,190,Wilmington DE,Appoquinimink/St. Thomas More (CT),22.6 Pts 5.0 Reb 6.2 Ast,Iona ,2016
Jordan Washington,23,JR,F,6-8,235,Jamaica NY,Pathways,14.2 Pts 6.4 Reb 0.4 Ast,Iona ,2016
Isaiah Williams,1,SR,G,6-7,190,Newark NJ,,12.8 Pts 6.9 Reb 1.9 Ast,Iona ,2016
Deyshonee Much,15,SO,G,6-5,170,Rochester NY,Gates Chili,13.0 Pts 3.5 Reb 1.8 Ast,Iona ,2016
Aaron Rountree,25,SR,F,6-8,200,Wilson NC,Greenfield School,6.2 Pts 5.2 Reb 2.6 Ast,Iona ,2016
Ibn Muhammad,3,SR,G,5-9,155,Laurel MD,Bishop McNamara,5.1 Pts 1.9 Reb 2.6 Ast,Iona ,2016
Jahaad Proctor,13,FR,G,6-3,205,Harrisburg PA,Harrisburg High School,5.1 Pts 2.0 Reb 1.1 Ast,Iona ,2016
Rickey McGill,0,FR,G,6-2,185,Spring Valley NY,Spring Valley (NY),2.8 Pts 1.5 Reb 0.7 Ast,Iona ,2016
Taylor Bessick,22,JR,F,6-9,225,Philadelphia PA,Rise Academy,3.5 Pts 3.3 Reb 0.0 Ast,Iona ,2016
Schadrac Casimir,4,SO,G,5-10,170,Stamford CT,South Kent,6.3 Pts 1.8 Reb 2.8 Ast,Iona ,2016
Ryden Hines,32,JR,F,6-10,225,Anchorage AK,Dimond/Impact Academy (CA),0.3 Pts 0.9 Reb 0.1 Ast,Iona ,2016
Kelvin Amayo,2,SR,G,6-4,215,Hillside NJ,NIA Prep,0.8 Pts 1.5 Reb 1.0 Ast,Iona ,2016
Benjamin Nwokeabia,24,FR,G,6-5,165,Geneva Switzerland,Impact Academy,0.2 Pts 0.2 Reb 0.0 Ast,Iona ,2016
Saren Westrop,33,FR,F,6-7,190,Lethbridge Canada,Lethbridge Collegiate Institute (AB),0.0 Pts 0.1 Reb 0.1 Ast,Iona ,2016
Perry Ellis,34,SR,F,6-8,225,Wichita KS,Wichita Heights HS,16.9 Pts 5.8 Reb 1.3 Ast,Kansas,2016
Wayne Selden,1,JR,G,6-5,230,Roxbury MA,Tilton (NH),13.8 Pts 3.4 Reb 2.6 Ast,Kansas,2016
Frank Mason,0,JR,G,5-11,185,Petersburg VA,Massanutten Military Academy,12.9 Pts 4.3 Reb 4.6 Ast,Kansas,2016
Devonte' Graham,4,SO,G,6-2,175,Raleigh NC,Brewster Academy (NH),11.3 Pts 3.3 Reb 3.7 Ast,Kansas,2016
Landen Lucas,33,JR,F,6-10,240,Portland OR,Westview HS,5.8 Pts 6.8 Reb 0.6 Ast,Kansas,2016
Sviatoslav Mykhailiuk,10,SO,G,6-8,195,Cherkasy Ukraine,Cherkasy First City Gymnasia,5.4 Pts 1.3 Reb 0.9 Ast,Kansas,2016
Brannen Greene,14,JR,G,6-7,215,Juliette GA,Tift County HS,5.4 Pts 2.1 Reb 0.8 Ast,Kansas,2016
Carlton Bragg,15,FR,F,6-10,219,Cleveland OH,Villa Angela-St. Joseph HS,3.8 Pts 2.5 Reb 0.4 Ast,Kansas,2016
Jamari Traylor,31,SR,F,6-8,220,Chicago IL,IMG Academy,2.9 Pts 3.2 Reb 0.5 Ast,Kansas,2016
Cheick Diallo,13,FR,F,6-9,218,Centereach NY,Our Savior New American HS,3.0 Pts 2.5 Reb 0.0 Ast,Kansas,2016
Hunter Mickelson,42,SR,F,6-10,245,Jonesboro AR,Westside,2.3 Pts 2.3 Reb 0.5 Ast,Kansas,2016
Lagerald Vick,2,FR,G,6-5,190,Memphis TN,Douglass HS,2.1 Pts 0.3 Reb 0.4 Ast,Kansas,2016
Evan Manning,5,SR,G,6-3,170,Lawrence KS,Free State,0.6 Pts 0.3 Reb 0.1 Ast,Kansas,2016
Clay Young,21,SO,F,6-5,205,Lansing KS,Lansing HS (KS),0.4 Pts 0.3 Reb 0.0 Ast,Kansas,2016
Tyler Self,11,JR,G,6-2,165,Lawrence KS,Free State HS,0.2 Pts 0.1 Reb 0.3 Ast,Kansas,2016
Jamal Murray,23,FR,G,6-5,207,Kitchener Canada,Orangeville Prep (Ontario),20.0 Pts 5.2 Reb 2.2 Ast,Kentucky ,2016
Tyler Ulis,3,SO,G,5-9,155,Lima OH,Marian Catholic HS,17.3 Pts 3.0 Reb 7.0 Ast,Kentucky ,2016
Isaiah Briscoe,13,FR,G,6-3,202,Newark NJ,Roselle Catholic HS,9.6 Pts 5.3 Reb 3.1 Ast,Kentucky ,2016
Alex Poythress,22,SR,F,6-8,238,Clarksville TN,Northeast HS,10.2 Pts 6.0 Reb 0.3 Ast,Kentucky ,2016
Derek Willis,35,JR,F,6-9,216,Mount Washington KY,Bullitt East HS,7.7 Pts 4.0 Reb 0.4 Ast,Kentucky ,2016
Skal Labissiere,1,FR,F,6-11,225,Port-au-prince Haiti,Evangelical Christian (TN) / Lausanne Collegiate (TN),6.6 Pts 3.1 Reb 0.3 Ast,Kentucky ,2016
Marcus Lee,0,JR,F,6-9,220,Antioch CA,Deer Valley HS,6.4 Pts 6.0 Reb 0.3 Ast,Kentucky ,2016
Dominique Hawkins,25,JR,G,6-0,195,Richmond KY,Madison Central HS,2.3 Pts 0.8 Reb 0.5 Ast,Kentucky ,2016
Charles Matthews,4,FR,G,6-6,205,Chicago IL,St. rita HS,1.7 Pts 1.6 Reb 0.4 Ast,Kentucky ,2016
Isaac Humphries,15,FR,F,7-0,260,Sydney Australia,La Lumiere School (IN),1.9 Pts 2.4 Reb 0.1 Ast,Kentucky ,2016
Mychal Mulder,11,JR,G,6-4,185,Windsor Canada,Catholic Central (Ont.),0.5 Pts 1.1 Reb 0.3 Ast,Kentucky ,2016
Jonny David,10,FR,G,6-2,188,Pittsburgh PA,Mt. Lebanon HS,0.2 Pts 0.0 Reb 0.0 Ast,Kentucky ,2016
EJ Floreal,24,JR,G,6-4,200,Palo Alto CA,Dunbar,0.0 Pts 0.5 Reb 0.0 Ast,Kentucky ,2016
Melo Trimble,2,SO,G,6-3,190,Upper Marlboro MD,Bishop O'Connell HS,14.8 Pts 3.6 Reb 4.9 Ast,Maryland,2016
Robert Carter,4,JR,F,6-9,240,Thomasville GA,Shiloh,12.3 Pts 6.9 Reb 1.9 Ast,Maryland,2016
Diamond Stone,33,FR,C,6-11,255,Milwaukee WI,Dominican HS,12.5 Pts 5.4 Reb 0.4 Ast,Maryland,2016
Jake Layman,10,SR,F,6-9,205,Wrentham MA,King Philip Regional HS,11.6 Pts 5.3 Reb 1.1 Ast,Maryland,2016
Rasheed Sulaimon,0,SR,G,6-5,195,Houston TX,Strake Jesuit College Prep,11.3 Pts 3.5 Reb 3.5 Ast,Maryland,2016
Jared Nickens,11,SO,G,6-7,200,Monmouth Junction NJ,Westtown,5.4 Pts 1.9 Reb 0.5 Ast,Maryland,2016
Damonte Dodd,35,JR,F,6-11,245,Centreville MD,Massanutten Military Academy,2.9 Pts 2.8 Reb 0.3 Ast,Maryland,2016
Jaylen Brantley,1,SO,G,5-11,170,Springfield MA,Notre Dame Prep,2.3 Pts 1.0 Reb 0.6 Ast,Maryland,2016
Michal Cekovsky,15,SO,C,7-1,235,Kosice Slovakia,Canarias Academy,2.3 Pts 1.9 Reb 0.1 Ast,Maryland,2016
Varun Ram,21,SR,G,5-9,155,Clarksville MD,River Hills,0.8 Pts 0.3 Reb 0.3 Ast,Maryland,2016
Ivan Bender,13,FR,F,6-9,228,Capljina Bosnia and Herzegovina,Elektrotehnicka Skola,1.8 Pts 1.7 Reb 0.3 Ast,Maryland,2016
Trevor Anzmann,12,SR,G,5-11,175,Westminster MD,Westminster HS,0.3 Pts 0.0 Reb 0.2 Ast,Maryland,2016
Kent Auslander,23,FR,G,6-6,200,Herndon VA,Herndon HS,0.3 Pts 0.3 Reb 0.1 Ast,Maryland,2016
Andrew Terrell,24,FR,G,5-10,190,Indianapolis IN,Brebeuf Jesuit HS,0.4 Pts 0.1 Reb 0.1 Ast,Maryland,2016
Sheldon McClellan,10,SR,G,6-5,206,Houston TX,Bellaire,16.3 Pts 3.2 Reb 1.6 Ast,Miami FL,2016
Angel Rodriguez,13,SR,G,5-11,180,Cupey Puerto Rico,Krop,12.6 Pts 2.5 Reb 4.5 Ast,Miami FL,2016
Davon Reed,5,JR,G,6-6,208,Ewing NJ,Princeton Day School,11.1 Pts 4.1 Reb 1.2 Ast,Miami FL,2016
Ja'Quan Newton,0,SO,G,6-1,185,Philadelphia PA,Neumann-Goretti HS,10.5 Pts 2.3 Reb 2.5 Ast,Miami FL,2016
Tonye Jekiri,23,SR,C,7-0,244,Hialeah FL,Champagnat Catholic HS,7.6 Pts 8.6 Reb 0.8 Ast,Miami FL,2016
Kamari Murphy,21,JR,F,6-8,216,Brooklyn NY,Lincoln,5.6 Pts 6.0 Reb 0.5 Ast,Miami FL,2016
Ivan Cruz Uceda,33,SR,F,6-10,237,Madrid Spain,Harcum College (PA),5.4 Pts 2.6 Reb 0.2 Ast,Miami FL,2016
Anthony Lawrence,3,FR,G,6-7,207,St. Petersburg FL,Lakewood Senior HS,4.1 Pts 1.9 Reb 0.8 Ast,Miami FL,2016
James Palmer,12,SO,G,6-6,207,Washington DC,St. John's College HS,3.4 Pts 1.1 Reb 0.7 Ast,Miami FL,2016
Ebuka Izundu,15,FR,C,6-10,232,Charlotte NC,Victory Christian Center School (NC),2.3 Pts 1.4 Reb 0.2 Ast,Miami FL,2016
Mike Robinson,20,FR,G,5-10,170,New Britain CT,New Britain HS,1.6 Pts 0.1 Reb 0.0 Ast,Miami FL,2016
Chris Stowell,35,SO,F,6-6,208,Exeter NH,Tilton (NH),0.0 Pts 0.3 Reb 0.0 Ast,Miami FL,2016
Zak Irvin,21,JR,G,6-6,215,Fishers IN,Hamilton Southeastern HS,11.8 Pts 4.5 Reb 3.1 Ast,Michigan,2016
Duncan Robinson,22,SO,F,6-8,190,New Castle NH,Phillips Exeter Academy (NH),11.2 Pts 3.5 Reb 1.8 Ast,Michigan,2016
Derrick Walton,10,JR,G,6-0,185,Detroit MI,Chandler Park Academy,11.6 Pts 5.5 Reb 4.5 Ast,Michigan,2016
Muhammad-Ali Abdur-Rahkman,12,SO,G,6-4,175,Allentown PA,Central Catholic HS,8.6 Pts 2.7 Reb 1.7 Ast,Michigan,2016
Mark Donnal,34,SO,F,6-9,240,Monclova OH,Anthony Wayne HS,7.8 Pts 3.7 Reb 0.4 Ast,Michigan,2016
Caris LeVert,23,SR,G,6-7,200,Pickerington OH,Central HS,16.5 Pts 5.3 Reb 4.9 Ast,Michigan,2016
Aubrey Dawkins,24,SO,G,6-6,205,Durham NC,New Hampton Prep (NH),6.5 Pts 2.5 Reb 0.5 Ast,Michigan,2016
Ricky Doyle,32,SO,F,6-10,240,Cape Coral FL,Bishop Verot HS,3.8 Pts 2.0 Reb 0.1 Ast,Michigan,2016
Moritz Wagner,13,FR,F,6-10,210,Berlin Germany,Alba Berlin,2.9 Pts 1.6 Reb 0.1 Ast,Michigan,2016
Kameron Chatman,3,SO,G,6-7,210,Portland OR,Columbia Christian HS,2.8 Pts 1.4 Reb 0.5 Ast,Michigan,2016
D.J. Wilson,5,SO,F,6-9,220,Sacramento CA,Capital Christian,2.7 Pts 0.7 Reb 0.3 Ast,Michigan,2016
Spike Albrecht,2,SR,G,5-11,175,Crown Point IN,Northfield Mount Hermon Prep,1.7 Pts 0.7 Reb 1.2 Ast,Michigan,2016
Andrew Dakich,11,JR,G,6-2,190,Zionsville IN,Zionsville Community HS,0.6 Pts 0.7 Reb 0.6 Ast,Michigan,2016
Denzel Valentine,45,SR,G,6-5,220,Lansing MI,Sexton HS,19.2 Pts 7.5 Reb 7.8 Ast,Michigan St. ,2016
Bryn Forbes,5,SR,G,6-3,175,Lansing MI,Sexton,14.4 Pts 2.1 Reb 1.5 Ast,Michigan St. ,2016
Matt Costello,10,SR,F,6-9,245,Linwood MI,Bay City Western HS,10.7 Pts 8.2 Reb 1.3 Ast,Michigan St. ,2016
Eron Harris,14,JR,G,6-3,195,Indianapolis IN,Lawrence North,9.3 Pts 2.6 Reb 2.1 Ast,Michigan St. ,2016
Deyonta Davis,23,FR,F,6-10,245,Muskegon MI,Muckegon HS,7.5 Pts 5.5 Reb 0.7 Ast,Michigan St. ,2016
Matt McQuaid,20,FR,G,6-5,200,Duncanville TX,Duncanville HS,3.5 Pts 0.8 Reb 1.6 Ast,Michigan St. ,2016
Marvin Clark,15,SO,F,6-7,230,Kansas City MO,Sunrise Christian Academy,3.9 Pts 2.5 Reb 0.3 Ast,Michigan St. ,2016
Javon Bess,2,SO,F,6-6,220,Columbus OH,Gahanna Lincoln HS,2.9 Pts 2.3 Reb 0.7 Ast,Michigan St. ,2016
Gavin Schilling,34,JR,F,6-9,240,Chicago IL,Findlay Prep (NV),3.8 Pts 3.1 Reb 0.6 Ast,Michigan St. ,2016
Alvin Ellis,3,JR,G,6-4,205,Matteson IL,Chicago De La Salle HS,2.6 Pts 1.5 Reb 1.1 Ast,Michigan St. ,2016
Lourawls Nairn,11,SO,G,5-10,170,Nassau Bahamas,Sunrise Christian Academy (KS),2.8 Pts 1.1 Reb 3.3 Ast,Michigan St. ,2016
Kenny Goins,25,FR,F,6-7,230,Troy MI,Warren Mott HS,2.0 Pts 2.9 Reb 0.8 Ast,Michigan St. ,2016
Colby Wollenman,41,SR,F,6-7,235,Big Horn WY,Big Horn HS,1.2 Pts 1.6 Reb 0.6 Ast,Michigan St. ,2016
Kyle Ahrens,0,FR,G,6-6,210,Versailles OH,Versailles HS,1.2 Pts 0.6 Reb 0.3 Ast,Michigan St. ,2016
Matt Van Dyk,30,JR,F,6-5,205,Imlay City MI,Imlay City HS,1.1 Pts 0.6 Reb 0.2 Ast,Michigan St. ,2016
Greg Roy,51,FR,G,6-3,200,Fort Worth TX,North Crowley (TX),0.0 Pts 0.0 Reb 0.0 Ast,Michigan St. ,2016
Reggie Upshaw,30,JR,F,6-7,222,Chattanooga TN,Baylor School,13.7 Pts 8.5 Reb 2.2 Ast,Middle Tennessee ,2016
Perrin Buford,2,SR,G,6-6,212,Decatur AL,Hillcrest-Tuscaloosa,12.0 Pts 5.9 Reb 2.0 Ast,Middle Tennessee ,2016
Giddy Potts,20,SO,G,6-2,220,Athens AL,Athens,14.4 Pts 5.2 Reb 1.2 Ast,Middle Tennessee ,2016
Darnell Harris,0,SR,F,6-8,231,Milwaukee WI,,11.7 Pts 4.0 Reb 1.2 Ast,Middle Tennessee ,2016
Jaqawn Raymond,10,SR,G,6-4,200,Statesboro GA,Statesboro,5.3 Pts 2.1 Reb 1.8 Ast,Middle Tennessee ,2016
Quavius Copeland,24,SO,G,6-1,178,Greenville SC,Southside HS (SC),4.7 Pts 0.9 Reb 1.8 Ast,Middle Tennessee ,2016
Edward Simpson,11,SO,G,6-2,190,Ocean Springs MS,St. Martin,5.0 Pts 2.6 Reb 1.8 Ast,Middle Tennessee ,2016
Xavier Habersham,4,JR,G,6-6,205,Dublin GA,East Laurens,3.1 Pts 1.5 Reb 0.3 Ast,Middle Tennessee ,2016
Aldonis Foote,15,JR,G,6-6,210,Peoria IL,Peoria Central High School,2.9 Pts 2.1 Reb 0.4 Ast,Middle Tennessee ,2016
Jacob Ivory,5,SO,G,5-9,165,Jackson MS,Murrah,3.8 Pts 1.6 Reb 1.8 Ast,Middle Tennessee ,2016
Joshua Phillips,3,JR,F,6-8,230,Hendersonville TN,Pope John Paul II,1.1 Pts 1.6 Reb 0.0 Ast,Middle Tennessee ,2016
Karl Gamble,25,FR,F,6-9,220,Columbia SC,A.C. Flora High School,0.9 Pts 1.1 Reb 0.0 Ast,Middle Tennessee ,2016
Brice Johnson,11,SR,F,6-9,228,Orangeburg SC,Edisto HS,17.0 Pts 10.4 Reb 1.5 Ast,North Carolina ,2016
Joel Berry,2,SO,G,6-0,195,Apopka FL,Lake Highland Prep,12.8 Pts 3.3 Reb 3.8 Ast,North Carolina ,2016
Justin Jackson,44,SO,F,6-8,193,Tomball TX,Home School Christian Youth Association,12.2 Pts 3.9 Reb 2.8 Ast,North Carolina ,2016
Marcus Paige,5,SR,G,6-1,175,Marion IA,Linn-Mar HS,12.6 Pts 2.5 Reb 3.8 Ast,North Carolina ,2016
Isaiah Hicks,4,JR,F,6-8,230,Oxford NC,J.F. Webb,8.9 Pts 4.6 Reb 0.7 Ast,North Carolina ,2016
Kennedy Meeks,3,JR,F,6-9,290,Charlotte NC,West Charlotte HS,9.2 Pts 5.9 Reb 1.1 Ast,North Carolina ,2016
Nate Britt,0,JR,G,6-1,170,Upper Marlboro MD,Oak Hill Academy (VA),5.4 Pts 1.5 Reb 1.7 Ast,North Carolina ,2016
Theo Pinson,1,SO,F,6-6,195,Greensboro NC,Wesleyan Christian Academy,4.5 Pts 3.2 Reb 2.9 Ast,North Carolina ,2016
Joel James,42,SR,F,6-10,280,West Palm Beach FL,Dwyer HS,2.2 Pts 2.3 Reb 0.0 Ast,North Carolina ,2016
Luke Maye,32,FR,F,6-8,240,Huntersville NC,Hough HS,1.2 Pts 1.7 Reb 0.2 Ast,North Carolina ,2016
Kenny Williams,24,FR,G,6-4,185,Midlothian VA,Bird HS,0.8 Pts 0.4 Reb 0.2 Ast,North Carolina ,2016
Justin Coleman,31,SR,G,6-2,180,Raleigh NC,Broughton HS,0.2 Pts 0.1 Reb 0.1 Ast,North Carolina ,2016
Stilman White,30,JR,G,6-0,170,Wilmington NC,Hoggard HS,0.2 Pts 0.3 Reb 0.1 Ast,North Carolina ,2016
Kanler Coker,13,JR,G,6-4,200,Gainesville GA,Flowery Branch HS,0.2 Pts 0.5 Reb 0.1 Ast,North Carolina ,2016
Spenser Dalton,43,SR,G,6-3,205,Asheville NC,Christ School,0.1 Pts 0.1 Reb 0.0 Ast,North Carolina ,2016
Toby Egbuna,34,SR,F,6-4,225,Clemmons NC,West Forsythe HS,0.0 Pts 0.1 Reb 0.0 Ast,North Carolina ,2016
Wes Washpun,11,SR,G,6-1,175,Cedar Rapids IA,Washington,14.2 Pts 4.1 Reb 5.3 Ast,Northern Iowa ,2016
Matt Bohannon,5,SR,G,6-4,195,Marion IA,Linn-Mar HS,11.5 Pts 4.1 Reb 0.9 Ast,Northern Iowa ,2016
Jeremy Morgan,20,JR,G,6-5,192,Coralville IA,Iowa City West HS,11.3 Pts 5.3 Reb 2.3 Ast,Northern Iowa ,2016
Paul Jesperson,4,SR,G,6-6,206,Merrill WI,Merrill,10.8 Pts 4.0 Reb 0.9 Ast,Northern Iowa ,2016
Bennett Koch,25,SO,F,6-9,232,Ashwaubenon WI,Ashwaubenon HS,7.6 Pts 3.5 Reb 0.4 Ast,Northern Iowa ,2016
Klint Carlson,2,SO,F,6-7,225,Waverly IA,Waverly-Shell Rock HS,7.6 Pts 3.7 Reb 0.7 Ast,Northern Iowa ,2016
Wyatt Lohaus,33,SO,G,6-2,192,North Liberty IA,Iowa City West HS,4.0 Pts 1.6 Reb 1.0 Ast,Northern Iowa ,2016
Aarias Austin,1,JR,G,6-4,180,Gurnee IL,,5.4 Pts 1.8 Reb 0.8 Ast,Northern Iowa ,2016
Ted Friedman,3,SO,C,6-9,245,Ankeny IA,Ankeny HS,0.9 Pts 1.3 Reb 0.3 Ast,Northern Iowa ,2016
Robert Knar,22,SO,G,6-1,180,Mundelein IL,Mundelein HS,1.0 Pts 0.5 Reb 0.0 Ast,Northern Iowa ,2016
Demetrius Jackson,11,JR,G,6-1,198,Mishawaka IN,Marian HS,15.8 Pts 3.5 Reb 4.7 Ast,Notre Dame ,2016
Zach Auguste,30,SR,F,6-10,242,Marlborough MA,New Hampton School,14.0 Pts 10.7 Reb 1.1 Ast,Notre Dame ,2016
V.J. Beachem,3,JR,F,6-8,200,Fort Wayne IN,New Haven HS,12.0 Pts 3.9 Reb 0.8 Ast,Notre Dame ,2016
Steve Vasturia,32,JR,G,6-5,211,Medford NJ,St. Joseph's Prep,11.4 Pts 2.6 Reb 3.2 Ast,Notre Dame ,2016
Bonzie Colson,35,SO,F,6-5,226,New Bedford MA,St. Andrew's (RI),11.1 Pts 6.7 Reb 0.9 Ast,Notre Dame ,2016
Matt Ryan,4,FR,F,6-7,215,Cortlandt Manor NY,Iona Prep (NY),5.1 Pts 1.7 Reb 0.5 Ast,Notre Dame ,2016
Matt Farrell,5,SO,G,6-0,173,Bridgewater NJ,Point Pleasant Beach HS,2.6 Pts 0.8 Reb 1.6 Ast,Notre Dame ,2016
Rex Pflueger,0,FR,G,6-6,218,Dana Point CA,Mater Dei HS,2.3 Pts 1.3 Reb 1.1 Ast,Notre Dame ,2016
Austin Burgett,20,SR,F,6-9,227,Avon IN,Avon HS,1.9 Pts 0.9 Reb 0.2 Ast,Notre Dame ,2016
Austin Torres,1,SO,F,6-7,228,Granger IN,Penn HS,0.9 Pts 0.9 Reb 0.1 Ast,Notre Dame ,2016
Martinas Geben,23,SO,F,6-9,255,Vilnius Lithuania,St. Maria Goretti HS,1.4 Pts 0.9 Reb 0.0 Ast,Notre Dame ,2016
Matt Gregory,21,SO,F,6-6,190,Avon IN,Cathedral HS,0.0 Pts 0.0 Reb 0.0 Ast,Notre Dame ,2016
Chad Holtz,15,FR,F,6-5,198,Ruston LA,Jesuit HS,0.0 Pts 1.0 Reb 0.0 Ast,Notre Dame ,2016
Buddy Hield,24,SR,G,6-4,209,Freeport Bahamas,Sunrise Christian Academy (KS),25.0 Pts 5.7 Reb 2.0 Ast,Oklahoma ,2016
Jordan Woodard,10,JR,G,6-0,182,Arcadia OK,Edmond Memorial HS,13.0 Pts 3.0 Reb 3.4 Ast,Oklahoma ,2016
Isaiah Cousins,11,SR,G,6-4,187,Mount Vernon NY,Mount Vernon HS,12.6 Pts 4.5 Reb 4.5 Ast,Oklahoma ,2016
Ryan Spangler,0,SR,F,6-8,231,Tuttle OK,Bridge Creek,10.2 Pts 9.0 Reb 1.9 Ast,Oklahoma ,2016
Khadeem Lattin,12,SO,F,6-9,200,Houston TX,Redemption Christian Home School Academy,5.6 Pts 5.3 Reb 0.6 Ast,Oklahoma ,2016
Dante Buford,21,FR,F,6-7,208,Greenville SC,Arlington Country Day School (FL),3.5 Pts 1.8 Reb 0.6 Ast,Oklahoma ,2016
Dinjiyl Walker,2,SR,G,6-1,193,Vaughan Canada,Academy of the New Church (PA),3.3 Pts 1.4 Reb 0.8 Ast,Oklahoma ,2016
Christian James,3,FR,G,6-4,213,Houston TX,Bellaire HS,2.9 Pts 1.7 Reb 0.5 Ast,Oklahoma ,2016
Akolda Manyang,30,JR,C,7-0,243,Rochester MN,Potter House Christian Academy (FL),2.5 Pts 2.0 Reb 0.0 Ast,Oklahoma ,2016
Rashard Odomes,1,FR,G,6-6,217,Copperas Cove TX,Copperas Cove HS,1.9 Pts 0.8 Reb 0.3 Ast,Oklahoma ,2016
Jamuni McNeace,4,FR,C,6-10,232,Kankakee IL,Allen HS,1.2 Pts 1.4 Reb 0.0 Ast,Oklahoma ,2016
C.J. Cole,25,JR,F,6-6,232,Sperry OK,Sperry HS,0.5 Pts 0.4 Reb 0.0 Ast,Oklahoma ,2016
Austin Mankin,41,JR,F,6-7,200,Coppell TX,Coppell HS,0.4 Pts 0.5 Reb 0.0 Ast,Oklahoma ,2016
Bola Alade,14,FR,G,6-4,184,Plano TX,John Paul II HS,0.3 Pts 0.3 Reb 0.0 Ast,Oklahoma ,2016
Daniel Harper,22,JR,G,6-1,184,Norman OK,Norman HS,0.0 Pts 0.2 Reb 0.0 Ast,Oklahoma ,2016
Dillon Brooks,24,SO,F,6-5,205,Mississauga Canada,Findlay Prep,16.7 Pts 5.4 Reb 3.1 Ast,Oregon ,2016
Elgin Cook,23,SR,F,6-6,206,Milwaukee WI,Hamilton,14.8 Pts 5.1 Reb 2.3 Ast,Oregon ,2016
Tyler Dorsey,5,FR,G,6-4,180,Los Angeles CA,Maranatha HS,13.4 Pts 4.3 Reb 2.0 Ast,Oregon ,2016
Chris Boucher,25,JR,F,6-10,200,Montréal Canada,Damase Boulanger (Quebec),12.1 Pts 7.4 Reb 0.4 Ast,Oregon ,2016
Dwayne Benjamin,0,SR,F,6-7,200,Lafayette LA,Northside,7.8 Pts 3.0 Reb 0.9 Ast,Oregon ,2016
Casey Benson,2,SO,G,6-3,175,Tempe AZ,Corona Del Sol HS,6.0 Pts 2.3 Reb 3.1 Ast,Oregon ,2016
Jordan Bell,1,SO,F,6-7,190,Long Beach CA,Long Beach Poly HS,6.8 Pts 5.3 Reb 1.2 Ast,Oregon ,2016
Kendall Small,21,FR,G,6-0,182,Lakewood CA,Mayfair HS,1.7 Pts 0.7 Reb 0.6 Ast,Oregon ,2016
Roman Sorkin,41,SO,F,6-10,225,Ashdod Israel,Hof HaSharon HS,1.9 Pts 1.0 Reb 0.2 Ast,Oregon ,2016
Trevor Manuel,35,FR,F,6-9,185,Lansing MI,Everett High School,1.1 Pts 1.0 Reb 0.3 Ast,Oregon ,2016
Charlie Noebel,10,JR,G,6-2,178,Irvine CA,Mater Dei HS,0.3 Pts 0.2 Reb 0.0 Ast,Oregon ,2016
Dylan Ennis,31,SR,G,6-2,192,Brampton Canada,Lake Forest Academy,0.7 Pts 1.0 Reb 0.7 Ast,Oregon ,2016
Max Heller,4,SR,G,5-10,170,Del Mar CA,Torrey Pines,0.0 Pts 0.3 Reb 0.1 Ast,Oregon ,2016
Troy Norris,12,SR,G,6-0,170,Oxnard CA,Atascadero High School,0.0 Pts 0.0 Reb 0.4 Ast,Oregon ,2016
Phil Richmond,11,JR,G,6-4,190,Calabasas CA,Trinity International HS,0.0 Pts 0.0 Reb 0.0 Ast,Oregon ,2016
Gary Payton,1,SR,G,6-3,175,Las Vegas NV,Spring Valley,16.0 Pts 7.8 Reb 5.0 Ast,Oregon St. ,2016
Tres Tinkle,3,FR,F,6-7,225,Missoula MT,Hellgate HS,13.1 Pts 5.4 Reb 1.1 Ast,Oregon St. ,2016
Stephen Thompson,2,FR,G,6-4,190,Los Angeles CA,Bishop Montgomery HS,10.6 Pts 1.9 Reb 0.8 Ast,Oregon St. ,2016
Drew Eubanks,12,FR,F,6-10,240,Troutdale OR,Reynolds HS,7.6 Pts 4.6 Reb 0.4 Ast,Oregon St. ,2016
Olaf Schaftenaar,30,SR,F,6-10,224,Utrecht Netherlands,Rodenborch College,6.4 Pts 2.9 Reb 1.6 Ast,Oregon St. ,2016
Malcolm Duvivier,11,JR,G,6-2,205,Toronto Canada,St. Michael's College School,6.1 Pts 2.4 Reb 2.2 Ast,Oregon St. ,2016
