"","TEAM","CONF","G","RECORD","W","L","WINPCT","ADJOE","ADJDE","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB","POSTSEASON","SEED","YEAR"
"71","Arizona","P12",38,"33 - 5",33,5,0.868,116.2,87.4,51.7,42.3,15.7,19.1,36.4,27.3,41,34.2,50.7,40.2,36.4,32,64.3,9.4,"Elite Eight",1,2014
"72","Arizona St.","P12",33,"21 - 12",21,12,0.636,110.3,96.4,52.4,46.3,16.3,17,24.5,30.2,42.5,37.3,48.8,45.3,39,32.6,69.3,1.2,"First Round",10,2014
"73","BYU","WCC",34,"22 - 12",22,12,0.647,113.8,100.5,50.6,49.1,15.3,16.6,34.9,28.6,47.6,36.8,49.2,48.2,36.9,33.7,73,0.6,"First Round",10,2014
"74","Baylor","B12",36,"24 - 12",24,12,0.667,119.2,99.5,51.3,48.7,17.8,15.8,40.1,32,44.8,32.3,48.3,46.4,38,35.6,62.9,3.1,"Sweet Sixteen",6,2014
"75","Cal Poly","BW",32,"12 - 20",12,20,0.375,102,104.4,46,49.3,14.7,18.1,30.9,33.2,33.2,42.9,44.2,48.6,33,33.8,60.4,-10.7,"First Round",16,2014
"76","Cincinnati","Amer",34,"27 - 7",27,7,0.794,108.7,91.5,47.7,44.8,17.4,22.4,39.1,32.3,38.7,36,46.6,43.2,33.5,32,63.5,5.3,"First Round",5,2014
"77","Coastal Carolina","BSth",31,"18 - 13",18,13,0.581,98.3,102,48,47.5,20.2,18.3,34.2,29.3,38.6,39.6,47.6,46.7,32.6,32.4,67.5,-7.7,"First Round",16,2014
"78","Colorado","P12",35,"23 - 12",23,12,0.657,106.9,96,48.3,49.4,19.7,17.8,34,26.1,48.3,30.2,48.6,47.3,31.8,35.6,66.9,2.4,"First Round",8,2014
"79","Connecticut","Amer",40,"32 - 8",32,8,0.8,112.5,91.3,51.5,44.6,17.3,19.6,30.4,32.8,38.3,35.7,48.1,42.2,38.7,33,64.8,4.7,"Champion",7,2014
"80","Creighton","BE",35,"27 - 8",27,8,0.771,125.2,101.9,58.9,48.5,15,14.8,27.7,27.8,33.9,33,56.3,47,41.4,34.2,65.4,5.6,"Second Round",3,2014
"81","Dayton","A10",37,"26 - 11",26,11,0.703,113,99.1,52.4,48.8,18.1,18.8,33.9,28.8,40.6,43,50.4,48.3,37.7,33.2,65.4,0.6,"Elite Eight",11,2014
"82","Delaware","CAA",35,"25 - 10",25,10,0.714,110.7,106,50.4,49.4,13.4,16.8,29.1,32.8,43.9,38,49.5,49.6,34.7,32.7,72.3,-1.4,"First Round",13,2014
"83","Duke","ACC",35,"26 - 9",26,9,0.743,125.9,98.6,53.8,49.3,14.6,18.5,35.2,31.3,38.8,40.8,50.3,50.3,39.5,30.7,66.7,6.5,"First Round",3,2014
"84","Eastern Kentucky","OVC",32,"22 - 10",22,10,0.688,112.1,107.5,56.7,55.7,15.8,24.2,23,34,43.2,54.9,55.7,56.7,38.6,35.8,66,-3.3,"First Round",15,2014
"85","Florida","SEC",39,"36 - 3",36,3,0.923,115.9,88.4,52.2,45.4,17.5,21.3,35.3,28,42.4,31.2,51.3,43.5,35.9,33,63.1,11.7,"Final Four",1,2014
"86","George Washington","A10",33,"24 - 9",24,9,0.727,110.2,96.8,51.5,47.2,19,19.6,35.1,31.4,46.6,33.4,50.2,47.4,36.4,31.2,67.2,3.2,"First Round",11,2014
"87","Gonzaga","WCC",35,"28 - 7",28,7,0.8,113.6,93.3,55.2,44.6,17.4,17.4,30.6,29.5,41.2,38.6,53.6,43.3,39,31.8,66.5,4,"Second Round",8,2014
"88","Harvard","Ivy",31,"26 - 5",26,5,0.839,111.9,95.2,52.1,46.2,17.6,21.1,32.3,29.3,48.4,36.3,49.7,44.9,38.6,32.7,65.5,2.2,"Second Round",12,2014
"89","Iowa","B10",33,"20 - 13",20,13,0.606,121.2,99.2,51.1,47.4,15.9,18.8,37.6,29,45.3,35.4,50.6,47.3,35,31.7,70.9,1.2,"First Four",11,2014
"90","Iowa St.","B12",36,"28 - 8",28,8,0.778,118.6,98.8,54.2,47.7,14.5,15.9,28.8,28.5,36.4,30.7,54.4,46,35.8,34.1,71.6,7.5,"Sweet Sixteen",3,2014
"91","Kansas","B12",35,"25 - 10",25,10,0.714,119.2,95.6,54.2,47.1,19.1,16.4,37.3,28.8,48.3,45.5,55.5,44.3,34,35.5,68.2,6.9,"Second Round",2,2014
"92","Kansas St.","B12",33,"20 - 13",20,13,0.606,107.9,92.9,48.8,45.3,18.5,19,34.7,33.2,40.3,45.4,48.3,45.9,33.1,29.3,64.8,0.5,"First Round",9,2014
