"","TEAM","CONF","G","RECORD","W","L","WINPCT","ADJOE","ADJDE","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB","POSTSEASON","SEED","YEAR"
"268","West Virginia","B12",35,"26 - 9",26,9,0.743,114.8,90.4,49.8,48.4,20,25,42,27.1,46.2,55.3,50.3,47.7,32.5,33.1,70.9,7.4,"First Round",3,2016
"269","Wichita St.","MVC",34,"25 - 9",25,9,0.735,110.3,87.8,48.9,44.7,14.7,23.2,31.7,23.6,37.4,45.4,49.2,42.1,32.3,32.7,66.8,0.2,"Second Round",11,2016
"270","Wisconsin","B10",35,"22 - 13",22,13,0.629,108.8,93.5,48.5,48.1,17.1,18.6,33.1,27.7,38,33.6,46.6,44.8,34.9,37.4,64.1,0.4,"Sweet Sixteen",7,2016
"271","Xavier","BE",34,"28 - 6",28,6,0.824,117,94.3,51.4,47.8,17.4,19.3,35.2,26,41.7,33.6,49.8,48.6,36.3,31.1,72.4,7.7,"Second Round",2,2016
"272","Yale","Ivy",29,"22 - 7",22,7,0.759,109.1,95.6,52.2,46.7,19.9,17.8,39.3,24.3,41.7,33.3,51.4,45.5,36,32.7,66.8,-0.1,"Second Round",12,2016
"273","Arizona","P12",37,"32 - 5",32,5,0.865,117.6,95.6,53.7,47.7,16.6,17.4,33.2,26,40.5,28.6,51.5,48.4,39,31,67.1,7.9,"Sweet Sixteen",2,2017
"274","Arkansas","SEC",36,"26 - 10",26,10,0.722,114.9,99.8,51.4,47.8,16.6,18.5,31.9,34.2,38.1,39.1,50,46.7,36.5,33.2,71,3.9,"Second Round",8,2017
"275","Baylor","B12",34,"27 - 7",27,7,0.794,116.4,93.9,52.5,46.1,20.6,17.1,39.8,29.4,33.9,30.1,52.2,45,35.3,32.2,65.1,7.9,"Sweet Sixteen",3,2017
"276","Bucknell","Pat",35,"26 - 9",26,9,0.743,108.3,99.1,55.3,48,18.9,19.7,26.8,27.9,37.2,33.1,54.3,46.5,37.9,34.2,71.4,-2.1,"First Round",13,2017
"277","Butler","BE",34,"25 - 9",25,9,0.735,117.7,96.9,54.6,50.8,15,19.6,27.2,27,37.1,37,54.5,51.3,36.6,33.3,67.2,5.5,"Sweet Sixteen",4,2017
"278","Cincinnati","Amer",36,"30 - 6",30,6,0.833,115.2,92.1,52,45.2,15.3,20.2,35.5,29.4,32.5,29.1,52.1,41.4,34.5,34.4,65.4,5.6,"Second Round",6,2017
"279","Creighton","BE",34,"25 - 9",25,9,0.735,114.5,95.2,57.6,49.9,17.1,19.3,24.2,29.6,27.9,29.3,56.4,50.2,39.8,33,72.7,4.3,"First Round",6,2017
"280","Dayton","A10",31,"24 - 7",24,7,0.774,111.6,97,53.6,47.7,16.9,20.9,25.6,27.4,43.4,35.2,51,47.2,38.4,32.3,69.6,1.5,"First Round",7,2017
"281","Duke","ACC",37,"28 - 9",28,9,0.757,122.1,95.6,54.8,47.4,16.3,17.3,31.7,29.8,39.3,31.2,53.5,48.9,37.9,29.3,69.7,8.6,"Second Round",2,2017
"282","East Tennessee St.","SC",33,"27 - 6",27,6,0.818,107.3,97.1,55.8,48.7,20.8,22,30.1,27.4,42.8,38.2,55,45.7,38.2,35.4,71.5,-0.7,"First Round",13,2017
"283","Florida","SEC",36,"27 - 9",27,9,0.75,116.6,88.9,51.6,45.8,16.9,21,32.1,29.5,40.2,34,50.3,45.7,35.9,30.5,70.2,6.4,"Elite Eight",4,2017
"284","Florida Gulf Coast","ASun",31,"26 - 5",26,5,0.839,107.8,103.4,53.9,49.3,17.9,17.4,33.8,29.6,33.8,35.9,55.4,51,33.7,31,67.2,-1.7,"First Round",14,2017
"285","Florida St.","ACC",35,"26 - 9",26,9,0.743,115.4,95.2,53.7,47.9,16.4,19.5,33.8,29.8,38.4,37.3,54.4,45.4,34.7,34.9,72.8,5.9,"Second Round",3,2017
"286","Gonzaga","WCC",39,"37 - 2",37,2,0.949,117.8,86.3,56.6,41.1,16.2,17.1,30,26.2,39,26.9,56.3,40,38.2,29,71.5,7.7,"Runner-up",1,2017
"287","Iona","MAAC",35,"22 - 13",22,13,0.629,109.3,106,53.4,50,16.5,18,27,32.1,31,33.4,49.3,47.7,39.7,36.1,71.7,-5.8,"First Round",14,2017
"288","Iowa St.","B12",35,"24 - 11",24,11,0.686,120,96.2,55,49,14.1,19.5,25.7,31.6,27.6,25.6,51.8,47.5,40,34.6,69.6,6.5,"Second Round",5,2017
"289","Jacksonville St.","OVC",33,"20 - 13",20,13,0.606,104.4,104.2,52.6,49.4,20.7,16.6,31.2,28.5,33.4,34.4,50.8,45.1,37.2,37.8,65,-8,"First Round",15,2017
"290","Kansas","B12",36,"31 - 5",31,5,0.861,121.5,94.5,56.1,48.1,17.6,18.6,34.1,29.7,36,30,53.6,45.3,40.4,35.6,71.4,11,"Elite Eight",1,2017
"291","Kansas St.","B12",35,"21 - 14",21,14,0.6,112.2,94.2,52.7,49.6,19.1,22.1,29.5,32.3,41.1,33.4,51.8,45.5,36.2,38.2,67.2,1.7,"First Round",11,2017
"292","Kent St.","MAC",35,"22 - 13",22,13,0.629,104.1,102.9,48.2,50.1,17.9,19,38.1,29.8,32.5,34.3,48.5,48.5,31.7,35.3,69.5,-7.2,"First Round",14,2017
"293","Kentucky","SEC",38,"32 - 6",32,6,0.842,118.3,91.3,52.9,47.5,15.7,19.2,33.5,27.7,40.9,33.5,52.9,48.3,35.3,30.6,73.7,9,"Elite Eight",2,2017
"294","Louisville","ACC",34,"25 - 9",25,9,0.735,117.6,91.5,51.4,45.7,16,19.6,36.7,28.5,34,38.8,50.5,44.8,35.5,31.6,69.4,6.9,"Second Round",2,2017
"295","Marquette","BE",32,"19 - 13",19,13,0.594,121.8,101.8,57.5,52.2,17.3,18.3,27.1,29.2,31,35.7,52.7,50.6,42.9,36.8,71.5,0.6,"First Round",10,2017
"296","Maryland","B10",32,"24 - 8",24,8,0.75,113.4,97.9,52.4,47.5,19,18,30.4,32.3,38.5,32.6,51,45.6,36.3,34.2,68.6,3.7,"First Round",6,2017
"297","Miami FL","ACC",33,"21 - 12",21,12,0.636,110.8,93.1,51,47.6,19.5,18.3,33.4,28.2,34.3,28.7,49.8,46.6,35.6,33,64.6,2.9,"First Round",8,2017
"298","Michigan","B10",38,"26 - 12",26,12,0.684,123.3,97.6,57,51.9,14.2,19.5,24.7,30,30.1,27.2,56.3,50,38.5,37.8,64,3.8,"Sweet Sixteen",7,2017
"299","Michigan St.","B10",35,"20 - 15",20,15,0.571,111.6,94.9,54,46.7,20.5,15.9,29.2,27.3,33.5,34.7,52.9,44.1,37.3,34.6,68.1,0.4,"Second Round",9,2017
"300","Middle Tennessee","CUSA",35,"31 - 4",31,4,0.886,111.2,96.6,54.1,47.9,15.6,19.8,30.1,23.8,30,38.2,53.6,47.1,36.9,32.8,65.8,2,"Second Round",12,2017
"301","Minnesota","B10",34,"24 - 10",24,10,0.706,109.3,92.9,48.7,45.1,16.1,17.6,29.7,30.2,39.6,29.2,47.5,44.5,34.3,30.9,70.9,3.7,"First Round",5,2017
"302","Mount St. Mary's","NEC",36,"20 - 16",20,16,0.556,98.9,101.8,51,49.9,19.2,21.7,23.1,34.8,32.4,32.6,49.4,49.5,35.8,34.1,68.3,-7.9,"First Round",16,2017
"303","Nevada","MWC",35,"28 - 7",28,7,0.8,113.7,100.7,52.5,48.3,15.5,15.9,30.4,26.3,41.3,28.2,49.2,49.3,38.2,31,71,1.7,"First Round",12,2017
"304","New Mexico St.","WAC",31,"28 - 3",28,3,0.903,109.4,102.5,52.7,47.9,19.5,19.1,35.6,28.5,43.3,35.2,54.2,49.1,33.5,30.3,69.1,-0.2,"First Round",14,2017
"305","New Orleans","Slnd",29,"20 - 9",20,9,0.69,99.6,101.2,50.2,50.3,23.7,22.4,36.1,32.6,42.8,34.7,51.6,51.8,30.7,31.9,67.7,-6.3,"First Four",16,2017
"306","North Carolina","ACC",39,"33 - 6",33,6,0.846,121,91.5,51.7,48.1,16.2,18.6,41.3,25,34.3,31.6,51,46.3,35.5,33.9,72.8,8.4,"Champion",1,2017
"307","North Carolina Central","MEAC",31,"25 - 6",25,6,0.806,101.4,101.3,51.3,45.3,17.8,19.8,31.6,31.2,34.2,28,52.7,46.1,32.7,29.2,68,-5.1,"First Four",16,2017
"308","North Dakota","BSky",29,"22 - 7",22,7,0.759,103.1,102.7,53.4,50.7,18.3,19.6,26,27.8,36.1,39.7,51.4,50,38.7,34.8,72.5,-5.3,"First Round",15,2017
"309","Northern Kentucky","Horz",33,"24 - 9",24,9,0.727,105.5,104.1,52.4,49.7,18.8,17,31.2,26.4,36.5,30.5,51.6,50.2,35.7,32.4,69.3,-4.9,"First Round",15,2017
"310","Northwestern","B10",36,"24 - 12",24,12,0.667,111.2,95.2,49.7,46.1,16,17.9,30.8,30.6,30.5,36.1,48.8,44,34.2,33.3,66.9,2,"Second Round",8,2017
"311","Notre Dame","ACC",36,"26 - 10",26,10,0.722,119.3,96.4,53.6,49.1,14,18.7,27.3,30.8,28.6,26.7,50.9,48.2,38.4,33.8,68.3,5.9,"Second Round",5,2017
"312","Oklahoma St.","B12",32,"20 - 12",20,12,0.625,126.8,102.3,54,53.2,18.2,20.3,38.3,31.9,37.4,45.4,50.4,52.4,40.3,36.4,72.9,3.3,"First Round",10,2017
"313","Oregon","P12",38,"33 - 5",33,5,0.868,117.8,93.8,55.5,46.4,17.1,19.3,32.4,29.5,34.4,26.3,54.5,46.1,38,31.2,68.4,6,"Final Four",3,2017
"314","Princeton","Ivy",29,"23 - 6",23,6,0.793,107.6,95.4,53.2,48.7,15.2,20.2,24.1,24.7,24.4,32,50.5,46.9,37.6,34.5,64.2,-0.4,"First Round",12,2017
"315","Providence","BE",33,"20 - 13",20,13,0.606,108.3,94.5,51.4,49.6,18.4,20.3,26.4,28.6,38.1,30.5,49.1,49.9,37.1,32.8,67.6,0.6,"First Four",11,2017
"316","Purdue","B10",35,"27 - 8",27,8,0.771,116.6,93.1,55.7,47.7,18.3,16.6,30.8,24.4,33.3,22.9,52.7,46.6,40.3,33.2,70.4,5.6,"Sweet Sixteen",4,2017
"317","Rhode Island","A10",35,"25 - 10",25,10,0.714,111.1,94.1,50.8,45,16.4,19.4,32.8,29.7,39.2,45,51.2,45.4,33.3,29.5,67.7,0.4,"Second Round",11,2017
"318","SMU","Amer",35,"30 - 5",30,5,0.857,120,94.1,54.6,46,16.9,18.3,37.2,26.4,36,24.6,51,44.1,40.6,32.1,64.8,6.4,"First Round",6,2017
"319","Saint Mary's","WCC",34,"29 - 5",29,5,0.853,118,93.8,57.8,45.3,17.5,15.3,33.1,21.9,27.8,26.6,56.9,45.4,39.4,30,61.2,3.9,"Second Round",7,2017
"320","Seton Hall","BE",33,"21 - 12",21,12,0.636,108.9,95.6,49.9,49,19.5,17.5,35.7,25.4,37.6,36.1,49.6,48,33.8,34.1,68.9,2.7,"First Round",9,2017
"321","South Carolina","SEC",36,"26 - 10",26,10,0.722,108.7,89,47.3,45.5,18.4,24.3,34,31.6,40.2,44.5,45.9,45.4,33.4,30.6,69.6,1.7,"Final Four",7,2017
"322","South Dakota St.","Sum",33,"18 - 15",18,15,0.545,108.2,109.7,53.2,53.8,18.4,16.2,27.1,28.9,39.9,27.1,52.7,52.4,35.8,36.9,68.5,-9.8,"First Round",16,2017
"323","Texas Southern","SWAC",35,"23 - 12",23,12,0.657,100.6,106.5,48.1,49.1,16.6,19.2,31.7,34.9,44.3,32.3,50,49.3,29.6,32.5,70,-4.4,"First Round",16,2017
"324","Troy","SB",35,"22 - 13",22,13,0.629,108.8,106.6,51.6,50.1,17.8,17.6,30.8,29.8,40.1,32.8,50.9,49.5,35.1,34.1,69.4,-8.1,"First Round",15,2017
"325","UC Davis","BW",34,"23 - 11",23,11,0.676,97.4,100.8,48.4,48.7,20.3,19.6,29.1,28.3,40.8,33.1,46.9,48.5,34.5,32.6,70.3,-7.5,"First Round",16,2017
"326","UCLA","P12",36,"31 - 5",31,5,0.861,122.8,99.6,59.8,48.7,15.1,15.8,29.1,28.6,26.8,25.4,59.1,45.3,40.6,36.5,74.6,6.6,"Sweet Sixteen",3,2017
"327","UNC Wilmington","CAA",33,"29 - 4",29,4,0.879,117.7,105,55,53.2,13.9,20.1,32.5,28.5,30.8,39.6,55.7,54.2,36.1,34,71.5,1.5,"First Round",12,2017
"328","USC","P12",36,"26 - 10",26,10,0.722,113.3,100.6,52.2,50.1,15.7,17.9,31,31.4,36.8,24,51,47.2,36.2,36.8,70.1,1.3,"Second Round",11,2017
"329","VCU","A10",35,"26 - 9",26,9,0.743,108.1,95.9,51,47.5,17.8,21,31.3,27.5,36.4,40.9,51.5,46,33.1,33.8,70.1,1.3,"First Round",10,2017
"330","Vanderbilt","SEC",35,"19 - 16",19,16,0.543,112.5,93.8,52.1,48.1,18.2,16.1,24.8,27,34.8,30.7,48.1,46.8,37.6,33.8,67,0.1,"First Round",9,2017
"331","Vermont","AE",34,"29 - 5",29,5,0.853,110,98.2,55.3,48.6,17,19.6,29.8,27.1,34.3,26.5,55.5,46.9,36.7,34.9,65.8,0.7,"First Round",13,2017
"332","Villanova","BE",36,"32 - 4",32,4,0.889,122.2,92.5,57.5,48.1,17.1,20.1,30.2,27.8,35,22.1,59.2,49.1,36.9,31.1,65.6,11.1,"Second Round",1,2017
"333","Virginia","ACC",34,"23 - 11",23,11,0.676,111.8,86.9,52.4,46.1,15.6,20.7,28.3,24.5,26,33.8,49.7,45.1,38.5,31.7,60.3,5,"Second Round",5,2017
"334","Virginia Tech","ACC",33,"22 - 11",22,11,0.667,118.4,102.5,56.9,51,17.2,16.5,23.4,30.5,40.9,27.3,54.6,49,40.3,36.3,70,3.3,"First Round",9,2017
"335","Wake Forest","ACC",33,"19 - 14",19,14,0.576,122.4,102.6,54.1,52.7,16.4,16.2,30.7,27.7,40.7,38,52.1,52.1,38.5,35.8,72,1.3,"First Four",11,2017
"336","West Virginia","B12",37,"28 - 9",28,9,0.757,115.4,89.3,51.3,48.8,17,27.6,37.9,31.9,38.9,42.5,49.8,46.5,36.2,35.3,72.2,6.4,"Sweet Sixteen",4,2017
"337","Wichita St.","MVC",35,"31 - 4",31,4,0.886,117.2,92.2,54.2,43.8,16.2,19.3,34.2,24.2,40.4,35.1,50.7,42,40.2,31.2,70,4.1,"Second Round",10,2017
"338","Winthrop","BSth",31,"26 - 5",26,5,0.839,105.3,101.3,53.5,46.7,17.8,18.6,26.3,28.4,38.2,34.5,50.9,45.9,37.9,32.1,72.3,-1.8,"First Round",13,2017
"339","Wisconsin","B10",37,"27 - 10",27,10,0.73,114.5,92,52.1,47.5,17,19.5,35.9,25.9,32.9,28,51.1,43.1,35.9,37.6,64.4,5.1,"Sweet Sixteen",8,2017
"340","Xavier","BE",38,"24 - 14",24,14,0.632,115.6,97.9,51.9,51.6,18.4,17.5,34.5,25.5,41.1,33.4,52,52.5,34.5,33.4,68.4,1.6,"Elite Eight",11,2017
"341","Alabama","SEC",36,"20 - 16",20,16,0.556,107.9,95.3,51.9,47.8,20.3,18.7,29.4,30.9,41.9,36.5,53.5,46.9,32.6,32.8,69.9,-1.1,"Second Round",9,2018
"342","Arizona","P12",35,"27 - 8",27,8,0.771,117,100.4,56.3,49.9,17.5,16.7,33.2,25.1,36.9,31.2,56.7,47.7,36.9,35.8,68.3,3.8,"First Round",4,2018
"343","Arizona St.","P12",32,"20 - 12",20,12,0.625,115.7,102.1,53.8,50.6,14.7,20.4,28,30.6,41.3,32.7,53.2,50.2,36.4,34.2,72.7,-1.2,"First Four",11,2018
"344","Arkansas","SEC",35,"23 - 12",23,12,0.657,116.7,100.4,53.8,50.4,15.1,19.4,28.8,31.7,37.4,40.8,51.2,48.2,39.5,35.7,71.1,2.8,"First Round",7,2018
"345","Auburn","SEC",34,"26 - 8",26,8,0.765,114,96.9,50.8,49.7,16.4,20.7,32.1,28,39.8,38.1,48.7,47.7,35.7,35.1,73.8,4.3,"Second Round",4,2018
"346","Bucknell","Pat",35,"25 - 10",25,10,0.714,108,101.3,53.9,47.8,17,17,27,27.5,42.6,34.5,55,47,34.8,33.1,72.9,-3,"First Round",14,2018
"347","Buffalo","MAC",35,"27 - 8",27,8,0.771,114.5,102.7,54.8,48.8,16.5,18.1,31.9,29.1,29.9,39.5,54.3,48.4,37.1,33.1,73.8,-1.3,"Second Round",13,2018
"348","Butler","BE",35,"21 - 14",21,14,0.6,116.1,95.3,54,51.9,15.7,19.5,27.6,24.6,26.1,35.3,54.3,49.5,35.7,37.3,69.1,1.7,"Second Round",10,2018
"349","Cal St. Fullerton","BW",30,"20 - 10",20,10,0.667,101.6,102.5,51.6,48.2,20.7,18.2,26,28.9,45.6,35.2,52,45,33.8,36.4,70.7,-5.5,"First Round",15,2018
"350","Cincinnati","Amer",36,"31 - 5",31,5,0.861,111.6,87.7,51.2,43.3,17,21.6,38.5,28.2,36,26.8,50.2,41.4,35.3,30.9,66.2,5.9,"Second Round",2,2018
"351","Clemson","ACC",35,"25 - 10",25,10,0.714,112.5,93.1,52.9,47.2,17.4,17.4,27.2,26.3,33.5,27.2,51.6,43.9,36.6,35.2,67.2,3.9,"Sweet Sixteen",5,2018
"352","College of Charleston","CAA",32,"26 - 6",26,6,0.812,106.8,104.3,52.7,49.9,15.1,17.8,25.5,27.9,36.6,32.1,52,48.7,35.9,34.6,66,-2.1,"First Round",13,2018
"353","Creighton","BE",32,"21 - 11",21,11,0.656,116.2,97.4,57.4,50.1,15.6,15.8,22.5,24.6,26.5,24.8,58.7,50,37.2,33.6,72.3,2,"First Round",8,2018
"354","Davidson","A10",33,"21 - 12",21,12,0.636,117,102.3,57.4,51.2,14.5,16.2,22.6,23.4,24.6,29.6,56.5,50.3,38.9,35,65.5,-2.9,"First Round",12,2018
"355","Duke","ACC",37,"29 - 8",29,8,0.784,122.3,92.9,55.9,46.4,17.5,17.3,38.8,30,34.6,22.3,56,45.4,37.2,32,70.9,6.6,"Elite Eight",2,2018
"356","Florida","SEC",34,"21 - 13",21,13,0.618,115.2,93.9,50.8,48.7,14.3,20,28.7,30.5,32.6,32.4,47.6,46.6,37,35.2,68.5,1.4,"Second Round",6,2018
"357","Florida St.","ACC",35,"23 - 12",23,12,0.657,113.2,96.4,53.2,48.4,17.8,19.4,32.3,29.8,37,32.4,53.6,45.4,35,35.5,72.5,0.9,"Elite Eight",9,2018
"358","Georgia St.","SB",33,"24 - 9",24,9,0.727,108.8,101.5,53.9,47.1,16.7,20.6,25.6,33.4,30.9,38.6,50.9,44,38.7,33.8,67.7,-5.1,"First Round",15,2018
"359","Gonzaga","WCC",37,"32 - 5",32,5,0.865,117.2,94.9,57,47.1,16.1,17.4,33,23.1,32.1,29.1,58.2,44.1,36.8,35,70.5,4.9,"Sweet Sixteen",4,2018
"360","Houston","Amer",35,"27 - 8",27,8,0.771,114.8,93.9,53.3,45.5,17.5,19.1,33.8,25.8,32.6,41.6,50.5,43.8,38.7,32.3,69.4,2.4,"Second Round",6,2018
"361","Iona","MAAC",34,"20 - 14",20,14,0.588,108.8,107.6,53.9,52.5,16,18.8,24.5,30.8,30.2,28.6,51.5,51.7,38.3,35.8,71.5,-7.3,"First Round",15,2018
"362","Kansas","B12",39,"31 - 8",31,8,0.795,122.1,96.4,57.5,49.1,16.6,18.2,29.4,31.2,27,24.6,55.6,48.6,40.1,33.3,69.9,8.2,"Final Four",1,2018
"363","Kansas St.","B12",37,"25 - 12",25,12,0.676,109.6,93.7,52.6,49.1,17.2,21.6,25.9,31.9,33.8,36.8,53.4,48.9,34.1,33,66.5,2.5,"Elite Eight",9,2018
"364","Kentucky","SEC",37,"26 - 11",26,11,0.703,115.8,95.6,51.8,46.8,18.6,16.8,35.7,31,44,32.3,51.2,48,35.7,30.1,70,4.3,"Sweet Sixteen",5,2018
"365","LIU Brooklyn","NEC",34,"18 - 16",18,16,0.529,101.9,109.9,52.1,50,19.5,16.5,29.4,29.8,38.7,31.8,52.3,50.5,34.6,32.8,72.8,-13.2,"First Four",16,2018
"366","Lipscomb","ASun",30,"23 - 7",23,7,0.767,103.2,101.8,51.5,52,20,19.9,27.4,24.3,40.6,38.4,53.2,52.8,32.7,33.8,75.9,-3.2,"First Round",15,2018
"367","Loyola Chicago","MVC",37,"32 - 5",32,5,0.865,110.5,95.4,57.7,47.4,19.1,19.4,22.1,25.9,32.2,25.2,56.6,47.1,39.8,32,66.4,2,"Final Four",11,2018
"368","Marshall","CUSA",35,"25 - 10",25,10,0.714,108.8,102.5,54.7,49.9,17.2,18.4,22.4,32.3,33.1,28.9,55.5,48.7,35.9,35,75.9,-2.5,"Second Round",13,2018
"369","Miami FL","ACC",32,"22 - 10",22,10,0.688,113.3,96.6,53.1,49,16.8,18.8,29.1,28.2,29.1,28.1,52.2,48.8,36.4,32.8,68.2,2.7,"First Round",6,2018
"370","Michigan","B10",40,"33 - 7",33,7,0.825,114.4,90.4,53.9,47.7,14,19.5,25.5,24.9,30.7,30,54.7,46.8,35.2,33.2,65.9,6.9,"Runner-up",3,2018
"371","Michigan St.","B10",35,"30 - 5",30,5,0.857,118.9,94.3,56.9,42.7,19.2,14.6,37,26.6,35.9,30.7,55.2,38.4,40.1,33.7,68,8,"Second Round",3,2018
"372","Missouri","SEC",32,"20 - 12",20,12,0.625,111,96,54.1,46.7,20.8,16,30.3,27.9,38.3,30.3,50.3,45.4,39,32.7,66.8,0.4,"First Round",8,2018
"373","Montana","BSky",32,"26 - 6",26,6,0.812,106.7,98.4,51.2,48.4,17.4,21.2,33.5,26.1,38.3,41.4,51.4,46.3,33.7,35.2,69.1,-1.1,"First Round",14,2018
"374","Murray St.","OVC",30,"26 - 4",26,4,0.867,110.6,100.8,55,47.2,17.6,18,32.9,27.6,37.3,30.5,54.4,47.6,37.2,30.9,67.8,-0.4,"First Round",12,2018
"375","Nevada","MWC",37,"29 - 8",29,8,0.784,118.9,102.5,54.8,49.4,13.5,18,26.7,29.3,36.3,30.1,52.1,50.7,39.2,31.7,70.7,2.5,"Sweet Sixteen",7,2018
"376","New Mexico St.","WAC",31,"28 - 3",28,3,0.903,106.8,95,51.6,46,17.4,19,33.8,22.5,29.1,33,52,45.7,34,31.1,69.4,1.3,"First Round",12,2018
"377","North Carolina","ACC",37,"26 - 11",26,11,0.703,120.7,97.1,52,50.1,16.7,16.3,37.4,25.5,28,26,51,45.3,35.9,38,72.6,7.1,"Second Round",2,2018
"378","North Carolina Central","MEAC",32,"19 - 13",19,13,0.594,95,110.3,50.4,48.5,20.8,16.8,32.9,29.7,30.3,34.3,51.3,48.1,32.3,32.8,66.4,-12,"First Four",16,2018
"379","North Carolina St.","ACC",33,"21 - 12",21,12,0.636,115.6,101.3,53.4,51.6,16.8,20.4,33.4,32,34.2,33.7,52.1,53.6,37.2,31.6,72.8,0.9,"First Round",9,2018
"380","Ohio St.","B10",34,"25 - 9",25,9,0.735,116,94.3,54.1,48.7,17.1,17.9,30.2,25.2,31.1,29.5,54.7,46.1,35.3,35.1,68.2,4.5,"Second Round",5,2018
"381","Oklahoma","B12",32,"18 - 14",18,14,0.562,114.6,99.5,53.5,51,17.3,16.8,28.4,30,33.2,25.6,53.3,49.1,35.9,36.2,76.7,1.1,"First Round",10,2018
"382","Penn","Ivy",32,"24 - 8",24,8,0.75,103.6,97.6,52.9,47,16.6,17,23.8,22.6,33.4,31.8,53.3,48,34.8,30,70.1,-3.3,"First Round",16,2018
"383","Providence","BE",35,"21 - 14",21,14,0.6,108.4,95.9,49.6,50.3,17.4,19,28.9,29,38.6,31.8,49.5,51.5,33.2,32.2,68.3,1.9,"First Round",10,2018
"384","Purdue","B10",37,"30 - 7",30,7,0.811,123.2,95.7,57.7,47,15.8,17.7,28,28,35.6,24.2,54.1,45.5,42,33.2,68.7,7.6,"Sweet Sixteen",2,2018
"385","Radford","BSth",34,"23 - 11",23,11,0.676,101.3,102.8,49.3,50.1,18.7,20.2,32,28,31.2,31.7,47.1,48.9,35,34.6,64.2,-6.5,"First Round",16,2018
"386","Rhode Island","A10",34,"26 - 8",26,8,0.765,109.7,97.3,51.1,50.4,15.3,22.6,31,28.2,30.1,40.6,50.4,50.6,35.2,33.2,69.6,1.6,"Second Round",7,2018
"387","San Diego St.","MWC",32,"22 - 10",22,10,0.688,110.2,94.9,51.7,48.6,17,19,31.6,25,35.1,29.6,52,47.8,34.1,33.2,70,-1.5,"First Round",11,2018
"388","Seton Hall","BE",34,"22 - 12",22,12,0.647,117.8,98.2,52.9,50.3,17.8,17.7,34.3,28.4,35.2,29.8,52,50,36.5,33.8,70.7,2.5,"Second Round",8,2018
"389","South Dakota St.","Sum",31,"28 - 3",28,3,0.903,113.2,100.4,54.3,50,14,14.2,24.6,23.3,35.4,25.6,50.7,49.8,39.3,33.6,71.5,0.6,"First Round",12,2018
"390","St. Bonaventure","A10",34,"26 - 8",26,8,0.765,109.6,99.7,51.6,49,16.3,20.4,29.3,29.1,40.5,38.4,48.5,49.7,38.6,32,70.4,1.4,"First Round",11,2018
"391","Stephen F. Austin","Slnd",31,"28 - 3",28,3,0.903,103.8,97.1,53.1,49.7,20.7,25.9,32,28.5,40.5,50.3,51.7,47.4,37.4,35.6,72.1,-1.8,"First Round",14,2018
"392","Syracuse","ACC",37,"23 - 14",23,14,0.622,106,92.1,46.9,46.2,19.1,19.5,34.7,30.4,40.5,31.4,46.6,45.1,31.7,31.8,64,-0.4,"Sweet Sixteen",11,2018
"393","TCU","B12",33,"21 - 12",21,12,0.636,119.5,100.5,56.5,52.3,17.8,17.4,34.2,26.1,34.1,30.5,55.1,50.1,39.4,37.6,70,2.2,"First Round",6,2018
"394","Tennessee","SEC",35,"26 - 9",26,9,0.743,114.2,92,50.8,46.7,17.9,20.4,33.4,31.1,35.5,37.6,47.3,46.1,38,31.8,67.1,6.4,"Second Round",3,2018
"395","Texas","B12",34,"19 - 15",19,15,0.559,109.3,93.7,50,48.3,17,18,29.4,29.1,33,26.2,51.2,47.5,32,33.2,66.6,1.4,"First Round",10,2018
"396","Texas A&M","SEC",35,"22 - 13",22,13,0.629,111.2,94.7,51.4,46.9,19.2,15.3,33.9,27.3,32,27.6,52.5,45.7,32.9,32.6,70.3,1.9,"Sweet Sixteen",7,2018
"397","Texas Southern","SWAC",36,"16 - 20",16,20,0.444,104.1,112.4,50.5,51.2,17.2,16.2,28.5,32.5,42.9,31.2,48.5,49.4,35.9,36.6,72.6,-10.9,"First Round",16,2018
"398","Texas Tech","B12",37,"27 - 10",27,10,0.73,112.7,91.5,52,46.4,17.8,21.7,32.9,28.7,39.3,38,51.1,45.1,35.9,32.3,67.6,4.7,"Elite Eight",3,2018
"399","UCLA","P12",33,"21 - 12",21,12,0.636,113.7,100.6,53.7,49.1,16.6,14.5,28.5,26.9,35.5,29.7,51.4,47.3,38.1,34.6,71.5,0,"First Four",11,2018
"400","UMBC","AE",33,"25 - 8",25,8,0.758,102.1,102.2,52.2,51.6,17.2,20.7,25.9,28.3,30.2,30.8,48.1,51,38.2,35,69.3,-4.9,"Second Round",16,2018
"401","UNC Greensboro","SC",32,"27 - 5",27,5,0.844,103.4,95.2,51.7,47.5,19.8,21.4,33.7,23.9,26,39.2,51.1,47.3,35,31.9,66.2,-1.6,"First Round",13,2018
"402","Villanova","BE",40,"36 - 4",36,4,0.9,128.4,94.1,59.5,48.5,15,18.2,29.6,27.1,29.4,26.7,59,49,40.1,31.7,69.6,10.6,"Champion",1,2018
"403","Virginia","ACC",34,"31 - 3",31,3,0.912,114.6,86.7,52.7,44.3,14,20.9,27,25.6,24.5,26.2,50.1,42.8,38.3,31,60.5,11.3,"First Round",1,2018
